stop_id ,name,service_branch,side,stop_order,stop_type,stop_date,place_label,place_standardized,certainty,source_field,source_excerpt,notes_for_mapping,lat,lon
159,"John Ali, John Aie",Navy,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
160,"John Ali, John Aie",Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,Enlisted May 1864.,Residence listed in notes; standardized place is best city/state match for mapping.,,
161,John Arnang (Arnung),Navy,Union,1,birth_place,1841,China,China,exact,born_if_known,"China, 1841-1842",,,
162,John Arnang (Arnung),Navy,Union,2,residence_at_enlistment,1864,"New York, 27th District, Wheeler","Wheeler, New York",approximate,important_notes,"Enlisted August 22, 1864; Residence: New York, 27th District, Wheeler; Occupation: Cook; ""Scar right shoulderblade and left forearm""",Residence listed in notes; standardized place is best city/state match for mapping.,,
163,John Arnang (Arnung),Navy,Union,3,enlistment_or_service_state,"August 22, 1864",New York,New York,approximate,regiment_state + important_notes,"Enlisted August 22, 1864; Residence: New York, 27th District, Wheeler; Occupation: Cook; ""Scar right shoulderblade and left forearm""",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
164,John Ase,Navy,Union,1,birth_place,1839,China,China,exact,born_if_known,"China, 1839",,,
165,John Ase,Navy,Union,2,residence_at_enlistment,1864,"New Jersey, Third District",New Jersey,approximate,important_notes,"Enlisted July 25, 1864.; Residence: New Jersey, Third District; Occupation: Cook; ""Scar right (?); tattooed both forearms""; 8-20-64: NA Squad-Minn-Mercedita; 2-11-65 Potomac; Fle. Rescue MR-65",Residence listed in notes; standardized place is best city/state match for mapping.,,
166,John Ase,Navy,Union,3,enlistment_or_service_state,"July 25, 1864",New York,New York,approximate,regiment_state + important_notes,"Enlisted July 25, 1864.; Residence: New Jersey, Third District; Occupation: Cook; ""Scar right (?); tattooed both forearms""; 8-20-64: NA Squad-Minn-Mercedita; 2-11-65 Potomac; Fle. Rescue MR-65",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
167,John Ase,Navy,Union,4,service_station,"August 20, 1864",NA Squad-Minn-Mercedita,Florida,approximate,regiment_state + important_notes,"Enlisted July 25, 1864.; Residence: New Jersey, Third District; Occupation: Cook; ""Scar right (?); tattooed both forearms""; 8-20-64: NA Squad-Minn-Mercedita; 2-11-65 Potomac; Fle. Rescue MR-65",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
168,John Ase,Navy,Union,5,service_station,"February 11, 1865",Potomac; Fle. Rescue MR-65,"Washington, D.C.",approximate,regiment_state + important_notes,"Enlisted July 25, 1864.; Residence: New Jersey, Third District; Occupation: Cook; ""Scar right (?); tattooed both forearms""; 8-20-64: NA Squad-Minn-Mercedita; 2-11-65 Potomac; Fle. Rescue MR-65",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
169,John Asian,Navy,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
170,John Asian,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,Enlisted May 1865,Residence listed in notes; standardized place is best city/state match for mapping.,,
171,John Assough,Navy,Union,1,birth_place,1832,China,China,exact,born_if_known,"China, 1832",,,
172,John Assough,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,"Enlisted June 25, 1864. ""Scar Belly and left thigh""; 8-6-64: N. A. Squadron-Minn-Crusader; 6-30-65: Navy Yard- Washington, R; Aud. '99",Residence listed in notes; standardized place is best city/state match for mapping.,,
173,John Assough,Navy,Union,3,enlistment_or_service_state,"June 25, 1864",New York,New York,approximate,regiment_state + important_notes,"Enlisted June 25, 1864. ""Scar Belly and left thigh""; 8-6-64: N. A. Squadron-Minn-Crusader; 6-30-65: Navy Yard- Washington, R; Aud. '99",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
174,John Assough,Navy,Union,4,service_station,"August 6, 1864",N.A. Squadron-Minn-Crusader,Chesapeake Bay,approximate,regiment_state + important_notes,"Enlisted June 25, 1864. ""Scar Belly and left thigh""; 8-6-64: N. A. Squadron-Minn-Crusader; 6-30-65: Navy Yard- Washington, R; Aud. '99",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
175,John Assough,Navy,Union,5,service_station,"June 30, 1865",Navy Yard,"Washington, Navy Yard",approximate,regiment_state + important_notes,"Enlisted June 25, 1864. ""Scar Belly and left thigh""; 8-6-64: N. A. Squadron-Minn-Crusader; 6-30-65: Navy Yard- Washington, R; Aud. '99",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
176,A-Ti,Navy,,1,residence_at_enlistment,,,,approximate,important_notes,,Residence listed in notes; standardized place is best city/state match for mapping.,,
177,John Ching Ching,Navy,Union,1,birth_place,,"Hong Kong, China","Hong Kong, China",exact,born_if_known,"Hong Kong, China",,,
178,John Ching Ching,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,w,Residence listed in notes; standardized place is best city/state match for mapping.,,
179,John Ching Ching,Navy,Union,3,enlistment_or_service_state,,New Orleans,New Orleans,approximate,regiment_state + important_notes,w,State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
180,John Ching Chong,Navy,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
181,John Ching Chong,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,1863 muster roll,Residence listed in notes; standardized place is best city/state match for mapping.,,
182,John Comfort,Navy,Union,1,birth_place,1845,China,China,exact,born_if_known,China,,,
183,John Comfort,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,"Married Au Kung Ling in Hong Kong in 1878, died April 6, 1907. ; U.S.S North Carolina, Seneca, and Constellation. Had one daughter Tai Kau, July 27 1899.; Complexion: ""Copper""; Occupation priot to enlisting: ""Steward""; Possible scar on right temple.; Enlisted September 27, 1864. Discharged October 1866.",Residence listed in notes; standardized place is best city/state match for mapping.,,
184,John Comfort,Navy,Union,3,enlistment_or_service_state,"September 27, 1864",New York,New York,approximate,important_notes,"Married Au Kung Ling in Hong Kong in 1878, died April 6, 1907. ; U.S.S North Carolina, Seneca, and Constellation. Had one daughter Tai Kau, July 27 1899.; Complexion: ""Copper""; Occupation priot to enlisting: ""Steward""; Possible scar on right temple.; Enlisted September 27, 1864. Discharged October 1866.",Residence listed in notes; standardized place is best city/state match for mapping.,,
185,John Comfort,Navy,Union,4,discharge_or_muster_out,"October 26, 1866",New York,New York,approximate,important_notes,"Married Au Kung Ling in Hong Kong in 1878, died April 6, 1907. ; U.S.S North Carolina, Seneca, and Constellation. Had one daughter Tai Kau, July 27 1899.; Complexion: ""Copper""; Occupation priot to enlisting: ""Steward""; Possible scar on right temple.; Enlisted September 27, 1864. Discharged October 1866.",Residence listed in notes; standardized place is best city/state match for mapping.,,
186,John Comfort,Navy,Union,5,residence_after_enlistment,1895,New York City,New York City,approximate,important_notes,"Married Au Kung Ling in Hong Kong in 1878, died April 6, 1907. ; U.S.S North Carolina, Seneca, and Constellation. Had one daughter Tai Kau, July 27 1899.; Complexion: ""Copper""; Occupation priot to enlisting: ""Steward""; Possible scar on right temple.; Enlisted September 27, 1864. Discharged October 1866.",Residence listed in notes; standardized place is best city/state match for mapping.,,
187,John Comfort,Navy,Union,6,dead,6-Apr-07,New York,New York,approximate,important_notes,"Married Au Kung Ling in Hong Kong in 1878, died April 6, 1907. ; U.S.S North Carolina, Seneca, and Constellation. Had one daughter Tai Kau, July 27 1899.; Complexion: ""Copper""; Occupation priot to enlisting: ""Steward""; Possible scar on right temple.; Enlisted September 27, 1864. Discharged October 1866.",Residence listed in notes; standardized place is best city/state match for mapping.,,
188,Joseph Cross,Navy,,1,residence_at_enlistment,,,,approximate,important_notes,,Residence listed in notes; standardized place is best city/state match for mapping.,,
189,"Joseph Daily, Dailey",Navy,Union,1,birth_place,1840,China,China,exact,born_if_known,"China, 1840",,,
190,"Joseph Daily, Dailey",Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,"""Swarthy Complexion"". Enlisted: August 20th, 1864",Residence listed in notes; standardized place is best city/state match for mapping.,,
191,"Joseph Daily, Dailey",Navy,Union,3,enlistment_or_service_state,"August 20th, 1864",New York,New York,approximate,regiment_state + important_notes,"""Swarthy Complexion"". Enlisted: August 20th, 1864",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
192,John Dixey,Navy,Union,1,birth_place,,China,China,exact,born_if_known,China,,,
193,John Dixey,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,Enlisted July 1865,Residence listed in notes; standardized place is best city/state match for mapping.,,
194,John R. Foote,Navy,Union,1,birth_place,1831,China,China,exact,born_if_known,"China, 1831",,,
195,John R. Foote,Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,"Enlisted: April 24th, 1863. Occupation: Cook",Residence listed in notes; standardized place is best city/state match for mapping.,,
196,John R. Foote,Navy,Union,3,enlistment_or_service_state,"April 24th, 1863",New York,New York,approximate,regiment_state + important_notes,"Enlisted: April 24th, 1863. Occupation: Cook",State-only location is approximate and may reflect regiment origin rather than exact enlistment place.,,
197,John (Ah) Hang (William Hang? Tonk Kee Hang),Navy,Union,1,birth_place,1841,"Canton, China","Canton, China",exact,born_if_known,"Canton, China, July 17, 1841",,,
198,John (Ah) Hang (William Hang? Tonk Kee Hang),Navy,Union,2,residence_at_enlistment,,,,approximate,important_notes,"Enlisted: July 24, 1863. U.S.S Albatross and Penguin Final Discharge: Sept. 30, 1864. GAR muster date: 15 Jun, 1920 in New York. Occupation after War: Tobacco Merchant. Residence after war: Soldiers and Sailors Home; No.8 Franklin street, New York City; Had a business at 500 Pearl Street and on Mott Street; Pension Approved: https://www.fold3.com/image/67165789/hang-john-page-117-us-navy-survivors-certificates-1861-1910; William Hang Confusion: Took the name of William at the urging of his first wife; Married Twice: Jennie Busch, 1868 in Savannah Georgia, died at West Brighton Staten Island. Second was to Maggie Duffy in 1878 and she died in April 1887 at West Brighton Staten Island. Widower at time of interview, 1917.; Attempted to naturalize but faced legal struggles and failed.; Died in Staten Island Hospital on December 3rd, 1923",Residence listed in notes; standardized place is best city/state match for mapping.,,
