name,born_if_known,age_at_enlistment,side,service_branch,regiment_state,regiment_and_company,rank_in,rank_out,rank_in_out_raw,status_after_war,newspaper_references,ancestry_fold3_links,archival_information,important_notes
Peter Mullen,"China, born 1836",28,Union,Navy,New York,Navy,Landsman,,Landsman,"Survived, discharged July 1865",,https://www.ancestrylibrary.com/search/collections/60368/records/26324?tid=&pid=&queryId=65bfe6db-51f2-4102-b2c4-14c1da4555f5&usePUBJs=true&_gl=1*11dor0b*_up*MQ..*_ga*MTA4NDI2NDg2My4xNzczNzA5Nzk5*_ga_4QT8FMEX30*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMSR0MTc3MzcxMDA2MiRqMjgkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwOTc5OSRqNjAkbDAkaDA.; https://www.fold3.com/image/310016086/mullen-peter-page-6-us-rendezvous-reports-index-civil-war-1861-1865,"NARA WAS DOWN, REVISIT","""Swarthy"" Complexion: Enlisted April 16th, 1864. Record of Service: 4/13/64- Onondaga. Discharged July 24th, 1865. Occupation: Mariner"
John Owens,China,35,Union,Navy,,U.S.S. Norwich,Cook,Cook,,,,,,"any relation? https://www.ancestry.com/offers/join?dbid=1107&gsfn&gsln&h=116249&url=http%3A%2F%2Fwww.ancestry.com%2Fsearch%2Fcollections%2F1107%2Frecords%2F116249
Enlisted May 1865"
Lester L. Russell (Could also be Dexter Russell),China,21,Union,Navy,,U.S.S. Montgomery,Seaman,,,,,,,Enlisted May 1863.
John Shin,"China, 1840, 24 at enlistment",24,Union,Navy,"Huron, New York, district 24",Navy,Landsman,,Landsman,,,https://www.ancestry.com/search/collections/60368/records/25351?tid=&pid=&queryId=96e9e7b2-d0b9-4454-a50e-3215d9a46ef7&_phsrc=PHY1&_phstart=successSource,,"https://catalog.archives.gov/search?page=1&q=john%20shin , https://www.fold3.com/external/ANCESTRY_DOCUMENT/3563363:1555?memorial=658558712; Occupation before war: ""Clerk and Steward""; Eyes, Hair, Complexion: Black, black, dark.; 5'6''; scars on both cheeks; Enlisted: August 27th, 1864"
John Smith,"China, 1829",32-35,Union,Navy,,,Landsman,Landsman,,,,https://www.ancestrylibrary.com/search/collections/2999/records/67146?tid=&pid=&queryId=2aa9c435-1ad3-4d9d-af2c-5438b81c9de8&usePUBJs=true&_gl=1*1slpr5h*_up*MQ..*_ga*MTU2NjIxMjY4Ni4xNzczNzA0Njg4*_ga_4QT8FMEX30*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMSR0MTc3MzcwNzU0NyRqNTEkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwNDY4NyRqNjAkbDAkaDA.; https://www.ancestrylibrary.com/search/collections/2999/records/31973?tid=&pid=&queryId=2aa9c435-1ad3-4d9d-af2c-5438b81c9de8&usePUBJs=true&_gl=1*1slpr5h*_up*MQ..*_ga*MTU2NjIxMjY4Ni4xNzczNzA0Njg4*_ga_4QT8FMEX30*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMSR0MTc3MzcwNzU0NyRqNTEkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwNDY4NyRqNjAkbDAkaDA.; https://www.ancestrylibrary.com/search/collections/1666/records/3085954?tid=&pid=&queryId=bb4d17a9-b1b3-4684-a8dc-; https://www.fold3.com/image/719647830/1863-1864-page-679-us-naval-hospital-tickets-and-case-papers-1825-18895f12e920a8b9&usePUBJs=true&_gl=1*1r83kyd*_up*MQ..*_ga*MTU2NjIxMjY4Ni4xNzczNzA0Njg4*_ga_4QT8FMEX30*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMSR0MTc3MzcwOTI2NCRqMTkkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwNDY4NyRqNjAkbDAkaDA.,,"U.S. Naval Hospital in Pensacola, Florida,  Jan 24 1864"
Thomas Smith,"Hong Kong, China, 1831",30,Union,Navy,Philadelphia,,,,,,,https://www.ancestrylibrary.com/search/collections/60368/records/156122?tid=&pid=&queryId=f602a895-362f-48a7-91f9-49e171bee33c&usePUBJs=true&_gl=1*skp5oc*_up*MQ..*_ga*NTc5MTA0NzQxLjE3NzQ5ODkyODI.*_ga_4QT8FMEX30*czE3NzUwMDQzMDMkbzQkZzEkdDE3NzUwMDQzMjckajM2JGwwJGgw*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3NDk4OTI4MiRqNjAkbDAkaDA.,,Enlistment Nov 26 1861
Robert Spicer,"Shanghai, China, born 1842",,Union,Navy,"New London, Connecticut","Landsman, U.S.S Sabine",Landsman,,Landsman,Survived,,https://www.ancestrylibrary.com/search/collections/60368/records/121145?tid=&pid=&queryId=c66ff573-bdcb-4c3d-8adb-13554684db10&_phsrc=arv32&_phstart=successSource&_gl=1*1367x7y*_up*MQ..*_ga*OTk0NzE0NjI5LjE3Njc5OTQxNDc.*_ga_4QT8FMEX30*czJhODMzMjYxLTBkM2UtNDI3Yy1iYzU5LTc0YmY2ZWE5ZjNiMCRvMSRnMSR0MTc2Nzk5NDE0NyRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*czJhODMzMjYxLTBkM2UtNDI3Yy1iYzU5LTc0YmY2ZWE5ZjNiMCRvMSRnMCR0MTc2Nzk5NDE0NyRqNjAkbDAkaDA.; https://www.ancestrylibrary.com/search/collections/60525/records/66410167?_gl=1*1unf50b*_up*MQ..*_ga*MTE5OTg0MDU2My4xNzY3OTk0MTkz*_ga_4QT8FMEX30*czJhODMzMjYxLTBkM2UtNDI3Yy1iYzU5LTc0YmY2ZWE5ZjNiMCRvMSRnMSR0MTc2Nzk5NDIwNCRqNDgkbDAkaDA.*_ga_LMK6K2LSJH*czJhODMzMjYxLTBkM2UtNDI3Yy1iYzU5LTc0YmY2ZWE5ZjNiMCRvMSRnMSR0MTc2Nzk5NDIwNSRqNDckbDAkaDA.; https://www.findagrave.com/memorial/116775306/robert-spicer,cannot find pension record but i know it exists thanks to fold3.,"married Alice Summers Spicer 1875 at St. Marks Church, served four years on U.S.S Sabine., Died 1890 or 1900. 1880 census- recorded as fisherman. 1860 census, listed as laboror at 17. have a picture of him!"
John Thompson,Revisit this later!,,,Navy,,,,,,,,https://www.ancestrylibrary.com/search/collections/60541/records/940395?tid=&pid=&queryId=7f04b0d8-0108-4316-ab13-4a2f3a45eb72&usePUBJs=true&_gl=1*1q5bi0g*_up*MQ..*_ga*MTU2NjIxMjY4Ni4xNzczNzA0Njg4*_ga_4QT8FMEX30*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMSR0MTc3MzcwNzU0NyRqNTEkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwNDY4NyRqNjAkbDAkaDA.,,"Link ""might"" be him, will return to this when i can"
Samuel Thompson (same as below),,,,Navy,,,,,,,,,,
Samuel Thompson,"China, born 1844",20,Union,Navy,New York,U.S.S. Iroquois,Landsman,,Landsman,Unknown,,"https://www.ancestrylibrary.com/search/collections/60368/records/76735?tid=&pid=&queryId=ad512190-2306-4d54-8e47-05b2148b9516&usePUBJs=true&_gl=1*12kw74f*_up*MQ..*_ga*MTU2NjIxMjY4Ni4xNzczNzA0Njg4*_ga_4QT8FMEX30*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwNDY4NyRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzcwNDY4NyRqNjAkbDAkaDA.; https://www.fold3.com/image/310086356/thompson-samuel-page-6-us-rendezvous-reports-index-civil-war-1861-1865; 
https://www.fold3.com/sub-image/268518743/thompson-samuel-us-naval-enlistment-weekly-returns-1855-1891?view=info",,"""Yellow"" Complexion
Enlisted: July 15th, 1864
Discharged: October 16, 1865 in New York"
John A. Wing,"China, born abt 1838",25,Union,Navy,New York,U.S.S. Pursuit,Steward,Steward,,"Survived, spent one month in NY naval hospital",,https://www.ancestrylibrary.com/search/collections/2999/records/14569?tid=&pid=&queryId=9f7894af-67b7-404d-a987-5e0fb5bc756f&_phsrc=DZF16&_phstart=successSource&_gl=1*1d72uhp*_up*MQ..*_ga*NTUwMzc1NzQ0LjE3Njc5OTAwMTM.*_ga_4QT8FMEX30*czJhODMzMjYxLTBkM2UtNDI3Yy1iYzU5LTc0YmY2ZWE5ZjNiMCRvMSRnMSR0MTc2Nzk5MDAxMyRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*czJhODMzMjYxLTBkM2UtNDI3Yy1iYzU5LTc0YmY2ZWE5ZjNiMCRvMSRnMCR0MTc2Nzk5MDAxMyRqNjAkbDAkaDA. https://www.ancestrylibrary.com/search/collections/9268/records/88761; https://www.ancestry.com/search/collections/2999/records/14569?tid=&pid=&queryId=080c7856-5afc-44aa-9b65-aaca24dc6ab3&_phsrc=Wfc29&_phstart=successSource,,"naval hospital admission, rank listed as ""leds"", sick with a perpetual fever ""Feb Contus Communis"" (?). Still looking for more information on him. https://www.fold3.com/sub-image/287639091/wing-john-a-us-pension-numerical-index-1860-1934 (pension certificate) 
Enlisted Dec. 1861
Admittance date to New York hospital: April 4 1865
Discharge date May 4 1865"
John Wylee (Wyhie),"China, born 1834",28,Union,Navy,New York,U.S.S. Harvest Moon,Landsman,,Landsman,"Survived, discharged March 28th, 1865",,https://www.ancestrylibrary.com/search/collections/60368/records/220630?tid=&pid=&queryId=23f036d7-8691-4653-8971-b4bf25d94581&usePUBJs=true&_gl=1*f1oujf*_up*MQ..*_ga*MTIwNTk1MDQ4My4xNzczNjk2NDEz*_ga_4QT8FMEX30*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzY5NjQxMiRqNjAkbDAkaDA.*_ga_LMK6K2LSJH*czk2ZWQxNTljLWY4OTItNDMyZi05YTY3LWRjYWI0M2Y3MmEyYiRvMSRnMCR0MTc3MzY5NjQxMiRqNjAkbDAkaDA. https://www.fold3.com/image/310113356/wylee-john-page-1-us-rendezvous-reports-index-civil-war-1861-1865,,"""Swarthy Complexion."" Enlisted March 8th, 1862. Relief, R.S. Boston — Feb. 20, 1864; Harvest Moon — Mar. 5, 1864; Dis. Nov. 28, 1865 — R.S. Phila."
